account_health_state,persona,initial_subscription_group,segment_level,companies,cutoff_month_revenue,cumulative_revenue,last_observed_month_revenue,segment_company_share_pct
Healthy / stable,ALL,business,initial_plan,65,13784.83180266242772678162,54851.79348025275576928706,13784.83180266242772678162,18.57
Declining - low exposure,ALL,business,initial_plan,1,11.00109339397260274000,217.97867691614993323130,11.00109339397260274000,0.29
Material Watch,ALL,business,initial_plan,15,2772.59817980382675308076,21871.47879043609231007766,2772.59817980382675308076,4.29
Recovered / monitor,ALL,business,initial_plan,1,24.39047084821917117000,39.26309749698623749000,24.39047084821917117000,0.29
Insufficient history,ALL,business,initial_plan,180,26718.86215550184430967581,60203.68805617410554910834,26718.86215550184430967581,51.43
At-risk,ALL,business,initial_plan,35,0.00000000000000000000,11576.99321349319264319520,3363.07798615780303466550,10.0
Churned proxy,ALL,business,initial_plan,51,0.00000000000000000000,10639.32975269808088474888,7478.26096236997051372680,14.57
Never monetized,ALL,business,initial_plan,2,0.00000000000000000000,,,0.57
Healthy / stable,ALL,free,initial_plan,1595,49008.63811466784493908306,216340.15147891252154480522,49008.63811466784493908306,22.36
Declining - low exposure,ALL,free,initial_plan,327,645.24411259616319756166,13250.91430477014872026976,645.24411259616319756166,4.58
Material Watch,ALL,free,initial_plan,186,5138.21298480985522758791,67642.49306565858774606495,5138.21298480985522758791,2.61
Recovered / monitor,ALL,free,initial_plan,70,393.32345415616339591460,2956.21099405585009564977,393.32345415616339591460,0.98
Insufficient history,ALL,free,initial_plan,4347,83454.25686189735570004895,191174.55385444345312709740,83454.25686189735570004895,60.95
At-risk,ALL,free,initial_plan,354,0.00000000000000000000,10665.56650635636969070400,2969.51680887890005817347,4.96
Churned proxy,ALL,free,initial_plan,228,0.00000000000000000000,9248.25936523060619500091,4155.18336873046751144138,3.2
Never monetized,ALL,free,initial_plan,25,0.00000000000000000000,,,0.35
Healthy / stable,ALL,plus,initial_plan,591,58949.05218766771031827266,259772.93104296655455593871,58949.05218766771031827266,25.93
Declining - low exposure,ALL,plus,initial_plan,4,12.21587252164383480940,405.96872154326200528480,12.21587252164383480940,0.18
Material Watch,ALL,plus,initial_plan,142,9703.59176375060500668842,107077.74634817958618580082,9703.59176375060500668842,6.23
Recovered / monitor,ALL,plus,initial_plan,26,908.04877437534164030958,4215.39176994949660112524,908.04877437534164030958,1.14
Insufficient history,ALL,plus,initial_plan,1264,99238.42884212377447764013,234987.81078427484530948428,99238.42884212377447764013,55.46
At-risk,ALL,plus,initial_plan,120,0.00000000000000000000,15529.99036199582239934008,5761.76374149313480219482,5.27
Churned proxy,ALL,plus,initial_plan,124,0.00000000000000000000,12201.14871792085613866949,4927.83029402761427117642,5.44
Never monetized,ALL,plus,initial_plan,8,0.00000000000000000000,,,0.35
Healthy / stable,ALL,start,initial_plan,2066,109406.20997181074053254719,473828.87139011870022373757,109406.20997181074053254719,26.26
Declining - low exposure,ALL,start,initial_plan,86,880.35461004109568641993,9034.44403003771057338815,880.35461004109568641993,1.09
Material Watch,ALL,start,initial_plan,330,14030.98761547886872549353,152494.29823682164254359620,14030.98761547886872549353,4.2
Recovered / monitor,ALL,start,initial_plan,50,777.12918635617686268591,2987.88197137651783167816,777.12918635617686268591,0.64
Insufficient history,ALL,start,initial_plan,4784,162220.22352931740327871119,374877.41334203548945326973,162220.22352931740327871119,60.82
At-risk,ALL,start,initial_plan,301,0.00000000000000000000,21596.12401050511838622153,5877.30298637313903155968,3.83
Churned proxy,ALL,start,initial_plan,225,0.00000000000000000000,11142.87424496221811409342,3560.95321877588327091095,2.86
Never monetized,ALL,start,initial_plan,24,0.00000000000000000000,,,0.31
Healthy / stable,ALL,ALL,overall,4317,231148.73207680872351668453,1004793.74739225053209376856,231148.73207680872351668453,24.49
Declining - low exposure,ALL,ALL,overall,418,1548.81568855287532153099,22909.30573326727123217401,1548.81568855287532153099,2.37
Material Watch,ALL,ALL,overall,673,31645.39054384315571285062,349086.01644109590878553963,31645.39054384315571285062,3.82
Recovered / monitor,ALL,ALL,overall,147,2102.89188573590107008009,10198.74783287885076594317,2102.89188573590107008009,0.83
Insufficient history,ALL,ALL,overall,10575,371631.77138884037776607608,861243.46603692789343895975,371631.77138884037776607608,59.99
At-risk,ALL,ALL,overall,810,0.00000000000000000000,59368.67409235050311946081,17971.66152290297692659347,4.6
Churned proxy,ALL,ALL,overall,628,0.00000000000000000000,43231.61208081176133251270,20122.22784390393556725555,3.56
Never monetized,ALL,ALL,overall,59,0.00000000000000000000,,,0.33
Healthy / stable,Automobile_Trade_Repair,ALL,persona,155,11156.05442041703034620369,44973.48474673848396752218,11156.05442041703034620369,20.97
Declining - low exposure,Automobile_Trade_Repair,ALL,persona,14,65.86525786739725076630,796.05765158714208234200,65.86525786739725076630,1.89
Material Watch,Automobile_Trade_Repair,ALL,persona,45,1566.14273374629848857505,23925.82577179116125785542,1566.14273374629848857505,6.09
Recovered / monitor,Automobile_Trade_Repair,ALL,persona,2,50.03139189041095889910,240.98739911981735866916,50.03139189041095889910,0.27
Insufficient history,Automobile_Trade_Repair,ALL,persona,441,19525.62071615626948889647,50877.88531579449281805380,19525.62071615626948889647,59.68
At-risk,Automobile_Trade_Repair,ALL,persona,45,0.00000000000000000000,2508.56827704378190511789,1147.07819209698271376519,6.09
Churned proxy,Automobile_Trade_Repair,ALL,persona,34,0.00000000000000000000,5130.86487783252986680376,966.41019339767343282770,4.6
Never monetized,Automobile_Trade_Repair,ALL,persona,3,0.00000000000000000000,,,0.41
Healthy / stable,BTP,ALL,persona,744,52247.70992855323376099900,224509.81534362583906979511,52247.70992855323376099900,23.69
Declining - low exposure,BTP,ALL,persona,74,290.25519639616424652236,4407.68635138448358266742,290.25519639616424652236,2.36
Material Watch,BTP,ALL,persona,179,10700.35565051394472236653,123557.98488227944835386547,10700.35565051394472236653,5.7
Recovered / monitor,BTP,ALL,persona,20,337.35353039013642453280,1619.40109566199482177290,337.35353039013642453280,0.64
Insufficient history,BTP,ALL,persona,1878,89928.80057043930971349867,219040.51230540750812003283,89928.80057043930971349867,59.79
At-risk,BTP,ALL,persona,129,0.00000000000000000000,15459.68032455356956155109,4010.33371913916930265074,4.11
Churned proxy,BTP,ALL,persona,109,0.00000000000000000000,8979.06255488742313603011,3381.64285241006761046025,3.47
Never monetized,BTP,ALL,persona,8,0.00000000000000000000,,,0.25
Healthy / stable,Bankers_Insurance,ALL,persona,56,2201.56267734410711277300,10468.52712136938550539465,2201.56267734410711277300,20.29
Declining - low exposure,Bankers_Insurance,ALL,persona,9,55.44154419178080141300,1017.05806059189531869900,55.44154419178080141300,3.26
Material Watch,Bankers_Insurance,ALL,persona,8,466.34471237424622346600,6854.61794724043960163300,466.34471237424622346600,2.9
Recovered / monitor,Bankers_Insurance,ALL,persona,4,12.04796459178082287000,111.15771701780679388700,12.04796459178082287000,1.45
Insufficient history,Bankers_Insurance,ALL,persona,180,8696.37303186329447690868,21777.13443530661586254195,8696.37303186329447690868,65.22
At-risk,Bankers_Insurance,ALL,persona,7,0.00000000000000000000,106.25968944931504503420,39.14624884657532604820,2.54
Churned proxy,Bankers_Insurance,ALL,persona,10,0.00000000000000000000,611.09223620066593173210,314.97323319111223944167,3.62
Never monetized,Bankers_Insurance,ALL,persona,2,0.00000000000000000000,,,0.72
Healthy / stable,Bikers_Drivers,ALL,persona,232,9800.89490379850760897681,40891.38634228566452548620,9800.89490379850760897681,22.12
Declining - low exposure,Bikers_Drivers,ALL,persona,24,57.01228528712322257633,926.74614194156221228603,57.01228528712322257633,2.29
Material Watch,Bikers_Drivers,ALL,persona,39,1980.06833618629680258940,17182.64752776737243420144,1980.06833618629680258940,3.72
Recovered / monitor,Bikers_Drivers,ALL,persona,14,233.72036824054732127548,1190.41540904099120161161,233.72036824054732127548,1.33
Insufficient history,Bikers_Drivers,ALL,persona,572,18810.48726163737114339185,42791.90938791882737766935,18810.48726163737114339185,54.53
At-risk,Bikers_Drivers,ALL,persona,73,0.00000000000000000000,5939.21017061756485506305,1479.31152406301161038288,6.96
Churned proxy,Bikers_Drivers,ALL,persona,89,0.00000000000000000000,6936.75583114997612651460,3180.38771060274756510250,8.48
Never monetized,Bikers_Drivers,ALL,persona,6,0.00000000000000000000,,,0.57
Healthy / stable,Cleaning_CallCenters,ALL,persona,23,765.14726142903976149668,4414.86840334304664352338,765.14726142903976149668,24.21
Declining - low exposure,Cleaning_CallCenters,ALL,persona,3,3.67167188383561589000,77.32978343850297441302,3.67167188383561589000,3.16
Material Watch,Cleaning_CallCenters,ALL,persona,4,37.37415931287666954000,1956.78071841345729741000,37.37415931287666954000,4.21
Insufficient history,Cleaning_CallCenters,ALL,persona,59,1570.18246969424307041267,3045.82547001259730975510,1570.18246969424307041267,62.11
At-risk,Cleaning_CallCenters,ALL,persona,4,0.00000000000000000000,410.29734089530980848505,50.23136946465734107865,4.21
Churned proxy,Cleaning_CallCenters,ALL,persona,1,0.00000000000000000000,40.52804180463955143000,40.52804180463955143000,1.05
Never monetized,Cleaning_CallCenters,ALL,persona,1,0.00000000000000000000,,,1.05
Healthy / stable,Consultant,ALL,persona,806,40827.75545487985170467108,180616.29263438230139136346,40827.75545487985170467108,26.22
Declining - low exposure,Consultant,ALL,persona,76,238.51071911397232012614,3369.98061352730878904231,238.51071911397232012614,2.47
Material Watch,Consultant,ALL,persona,97,5721.56149021955916080520,51969.87999235549607804659,5721.56149021955916080520,3.16
Recovered / monitor,Consultant,ALL,persona,22,148.64360740219125545940,802.27499831046878404463,148.64360740219125545940,0.72
Insufficient history,Consultant,ALL,persona,1865,60175.28947703356242529188,137221.51144999151711795950,60175.28947703356242529188,60.67
At-risk,Consultant,ALL,persona,125,0.00000000000000000000,7222.71619906086852593422,2317.88706773972080544626,4.07
Churned proxy,Consultant,ALL,persona,74,0.00000000000000000000,3535.07428536621553136266,1894.83100543980389772691,2.41
Never monetized,Consultant,ALL,persona,9,0.00000000000000000000,,,0.29
Healthy / stable,Developer_IT,ALL,persona,408,21238.72990747838705549273,92672.24290334268991768348,21238.72990747838705549273,28.43
Declining - low exposure,Developer_IT,ALL,persona,34,152.21842014849308794357,1835.76631852280761105387,152.21842014849308794357,2.37
Material Watch,Developer_IT,ALL,persona,49,1591.84898596547725334050,14654.16686115355613986426,1591.84898596547725334050,3.41
Recovered / monitor,Developer_IT,ALL,persona,17,261.87900361152030024457,1170.48169433833354259317,261.87900361152030024457,1.18
Insufficient history,Developer_IT,ALL,persona,828,31507.10934212032578771991,68184.92467329445279847163,31507.10934212032578771991,57.7
At-risk,Developer_IT,ALL,persona,52,0.00000000000000000000,3478.96854791706353214713,1108.27163396547877469693,3.62
Churned proxy,Developer_IT,ALL,persona,41,0.00000000000000000000,2857.68636841154598042340,2090.54238964352307778246,2.86
Never monetized,Developer_IT,ALL,persona,6,0.00000000000000000000,,,0.42
Healthy / stable,Media_Publishing,ALL,persona,170,7900.18397715176834695225,34958.34549319045742065863,7900.18397715176834695225,26.28
Declining - low exposure,Media_Publishing,ALL,persona,24,86.05553641041088902180,1542.43939024286226921046,86.05553641041088902180,3.71
Material Watch,Media_Publishing,ALL,persona,13,602.66502511013583012698,6320.66509633532690191098,602.66502511013583012698,2.01
Recovered / monitor,Media_Publishing,ALL,persona,12,341.37824503616417106530,1082.32329570155412362370,341.37824503616417106530,1.85
Insufficient history,Media_Publishing,ALL,persona,394,11953.38951638396408005041,26987.24850263596739207376,11953.38951638396408005041,60.9
At-risk,Media_Publishing,ALL,persona,24,0.00000000000000000000,913.91984779820272400689,216.66338907671213465761,3.71
Churned proxy,Media_Publishing,ALL,persona,9,0.00000000000000000000,272.51550164857673415691,213.96641366665892189731,1.39
Never monetized,Media_Publishing,ALL,persona,1,0.00000000000000000000,,,0.15
Healthy / stable,Medical_Professionals,ALL,persona,60,2749.93454933424241023950,11165.75193449940346353247,2749.93454933424241023950,26.91
Declining - low exposure,Medical_Professionals,ALL,persona,3,37.69324123013697634000,422.17876419576063561200,37.69324123013697634000,1.35
Material Watch,Medical_Professionals,ALL,persona,4,304.19380476602647925000,3678.11662021041910219000,304.19380476602647925000,1.79
Recovered / monitor,Medical_Professionals,ALL,persona,1,1.62223223342465790000,5.09527998465753503000,1.62223223342465790000,0.45
Insufficient history,Medical_Professionals,ALL,persona,145,3645.10327100688373086000,7045.88578760191980785437,3645.10327100688373086000,65.02
